Baruch 5:1-9,Advent 2C
Matthew 1:18-25,Advent 4A
Matthew 2:1-12,"Christmas 2A,B,C"
Matthew 2:1-12,The Epiphany
Matthew 2:13-18,Holy Innocents
"Matthew 2:13-15,19-23","Christmas 2A,B,C"
Matthew 3:1-12,Advent 2A
Matthew 3:13-17,Epiphany 1A
Matthew 4:1-11,Lent 1A
Matthew 4:12-23,Epiphany 3A
Matthew 4:18-22,St Andrew
Matthew 5:1-12,Epiphany 4A
Matthew 5:1-12,All Saints A
Matthew 5:13-20,Epiphany 5A
Matthew 5:21-37,Epiphany 6A / Proper 1A
Matthew 5:38-48,Epiphany 7A / Proper 2A
Matthew 5:43-48,Independence Day
"Matthew 6:1-6,16-21","Ash Wednesday A,B,C"
Matthew 6:24-34,Epiphany 8A / Proper 3A
Matthew 6:25-33,Thanksgiving Day B
Matthew 7:21-29,Proper 4A
Matthew 9:9-13,St Matthew
"Matthew 9:9-13,18-26",Proper 5A
"Matthew 9:35—10:8,(9-23)",Proper 6A
Matthew 10:7-16,St Barnabas
Matthew 10:16-22,Conversion of St Paul
Matthew 10:24-39,Proper 7A
Matthew 10:40-42,Proper 8A
Matthew 11:2-11,Advent 3A
"Matthew 11:16-19,25-30",Proper 9A
"Matthew 13:1-9,18-23",Proper 10A
"Matthew 13:24-30,36-43",Proper 11A
"Matthew 13:31-33,44-52",Proper 12A
Matthew 13:54-58,St James of Jerusalem
Matthew 14:13-21,Proper 13A
Matthew 14:22-33,Proper 14A
"Matthew 15:(10-20),21-28",Proper 15A
Matthew 16:13-19,Confession of St Peter
Matthew 16:13-20,Proper 16A
Matthew 16:21-28,Proper 17A
Matthew 17:1-9,Last Epiphany A
Matthew 18:15-20,Proper 18A
Matthew 18:21-35,Proper 19A
Matthew 20:1-16,Proper 20A
Matthew 20:20-28,St James
Matthew 21:1-11,Palm Sunday A
Matthew 21:23-32,Proper 21A
Matthew 21:33-46,Proper 22A
Matthew 22:1-14,Proper 23A
Matthew 22:15-22,Proper 24A
Matthew 22:34-46,Proper 25A
Matthew 23:1-12,Proper 26A
Matthew 23:34-39,St Stephen
Matthew 24:36-44,Advent 1A
Matthew 25:1-13,Proper 27A
Matthew 25:14-30,Proper 28A
Matthew 25:31-46,Proper 29A
Matthew 26:14—27:66,Palm Sunday A
Matthew 27:11-54,Palm Sunday A
Matthew 27:57-66,Holy Saturday
Matthew 28:1-10,Easter Vigil A
Matthew 28:1-10,Easter Day A
Matthew 28:9-15,Monday in Easter Week
Matthew 28:16-20,Trinity Sunday A
Mark 1:1-8,Advent 2B
Mark 1:1-15,St Mark
Mark 1:4-11,Epiphany 1B
Mark 1:9-15,Lent 1B
Mark 1:14-20,Epiphany 3B
Mark 1:21-28,Epiphany 4B
Mark 1:29-39,Epiphany 5B
Mark 1:40-45,Epiphany 6B / Proper 1B
Mark 2:1-12,Epiphany 7B / Proper 2B
Mark 2:13-22,Epiphany 8B / Proper 3B
Mark 2:23—3:6,Proper 4B
Mark 3:20-35,Proper 5B
Mark 4:26-34,Proper 6B
